adjective,n
red,1121
green,946
yellow,723
hot,664
purple,440
orange,420
baby,346
pink,296
sweet,231
brown,210
quack,174
apple,168
dirty,158
daddy,149
bear,130
top,130
birth,120
back,117
flat,114
dark,112
wet,102
dump,99
fish,91
mommy,89
plastic,78
fat,76
smiley,75
bubble,74
giant,74
bunny,70
dead,68
bottom,65
water,63
night,62
round,62
woof,62
bright,60
day,59
ice,57
car,51
outside,50
snow,50
boy,48
gold,48
puzzle,48
teddy,47
dinosaur,45
girl,45
kitty,45
train,44
wooden,44
toy,43
broken,42
fire,39
fruit,39
school,39
shake,39
cookie,38
light,38
chocolate,37
paper,37
trash,37
juicy,36
lady,36
color,35
dog,34
jelly,34
pound,33
puppy,33
thick,33
air,32
phone,32
square,32
farm,31
library,31
peanut,31
pirate,31
sugar,31
curly,30
ear,30
lawn,30
elephant,29
hand,29
sunny,29
run,28
bath,27
chicken,27
cut,26
edge,26
swimming,26
ant,25
mud,25
worm,25
ball,24
eat,24
rain,24
wiggle,24
candy,23
flower,23
grey,23
pumpkin,23
slap,23
tea,23
picnic,22
picture,22
sand,22
strawberry,22
tooth,22
food,21
furry,21
garden,21
naked,21
blowing,20
foot,20
forty,20
police,20
scribble,20
video,20
dance,19
fuzzy,19
honey,19
mama,19
oatmeal,19
pussy,19
solid,19
squeak,19
tree,19
cheese,18
cream,18
frog,18
gas,18
paint,18
door,17
karate,17
kid,17
man,17
poo,17
sky,17
cough,16
cry,16
grape,16
kitchen,16
milk,16
oval,16
silver,16
washing,16
beep,15
bible,15
diamond,15
draw,15
farmer,15
hair,15
knock,15
quarter,15
sea,15
shoe,15
soy,15
frozen,14
key,14
letter,14
slam,14
turtle,14
upstairs,14
write,14
bug,13
coffee,13
couple,13
earth,13
grocery,13
hay,13
people,13
roast,13
whale,13
wood,13
bean,12
blind,12
cat,12
circus,12
dish,12
glass,12
guy,12
mail,12
music,12
princess,12
puppet,12
rolling,12
room,12
stuffed,12
throw,12
vanilla,12
animal,11
army,11
banana,11
bathing,11
bleeding,11
blond,11
blueberry,11
brush,11
chip,11
cotton,11
dolly,11
juice,11
movie,11
one,11
potato,11
spiky,11
bed,10
bird,10
bite,10
bow,10
colored,10
country,10
dragon,10
eye,10
floor,10
ground,10
ham,10
jump,10
money,10
octopus,10
singing,10
tightrope,10
till,10
toilet,10
brother,9
bus,9
butter,9
drum,9
egg,9
freeze,9
garbage,9
locked,9
mashed,9
monkey,9
pet,9
racing,9
silky,9
star,9
wash,9
wedding,9
bald,8
bathroom,8
bedroom,8
blood,8
bread,8
brick,8
burnt,8
clap,8
dart,8
dozen,8
eleven,8
face,8
head,8
icy,8
inch,8
navy,8
ocean,8
pat,8
pear,8
plant,8
pony,8
potty,8
rainy,8
record,8
road,8
rock,8
sing,8
smoke,8
spider,8
squirt,8
stairs,8
sticker,8
telephone,8
tennis,8
truck,8
turkey,8
varnish,8
yogurt,8
basket,7
blonde,7
book,7
box,7
celery,7
closet,7
cooker,7
cup,7
fairy,7
family,7
flip,7
granola,7
heart,7
hind,7
horse,7
jungle,7
marble,7
metal,7
mother,7
pedal,7
pencil,7
piece,7
poop,7
pop,7
pull,7
rocky,7
shop,7
sister,7
sleep,7
sleeping,7
slide,7
slippery,7
table,7
taller,7
tiger,7
umbrella,7
vegetable,7
wall,7
wheat,7
balloon,6
bank,6
baseball,6
block,6
breakfast,6
camp,6
cherry,6
circle,6
clothes,6
crispy,6
dust,6
finger,6
fridge,6
game,6
gingerbread,6
goldfish,6
hill,6
holly,6
home,6
honk,6
house,6
human,6
leaf,6
log,6
macaroni,6
maple,6
office,6
ogre,6
onion,6
oven,6
peach,6
pee,6
person,6
piggy,6
poison,6
prawn,6
puffy,6
scrap,6
snowy,6
town,6
tuna,6
veggie,6
world,6
alphabet,5
ankle,5
bar,5
battery,5
beach,5
blink,5
board,5
body,5
bowling,5
brake,5
cardboard,5
castle,5
chain,5
cheddar,5
chick,5
cinnamon,5
computer,5
conveyor,5
coral,5
cow,5
cross,5
dancing,5
dig,5
diving,5
doll,5
dot,5
dress,5
dressing,5
ferry,5
flying,5
fold,5
football,5
golf,5
hip,5
iron,5
jean,5
leg,5
lemon,5
lunch,5
meal,5
meat,5
mulberry,5
north,5
oil,5
olive,5
owl,5
oyster,5
page,5
park,5
paw,5
pig,5
pine,5
popcorn,5
press,5
pretzel,5
rail,5
rectangle,5
rice,5
rocket,5
roof,5
rubber,5
screw,5
skate,5
sleeve,5
snack,5
steam,5
step,5
stick,5
stone,5
street,5
sweat,5
toast,5
triangle,5
wolf,5
wrapping,5
asteroid,4
bacon,4
ballet,4
bay,4
bike,4
bloody,4
blooming,4
bottle,4
brass,4
building,4
cabbage,4
carpet,4
cell,4
check,4
child,4
children,4
church,4
clock,4
clown,4
clump,4
concrete,4
cooking,4
corner,4
cupboard,4
dinner,4
doggy,4
dolphin,4
drawing,4
engine,4
fishing,4
flaming,4
fly,4
freezing,4
garlic,4
gum,4
hairy,4
hall,4
hamburger,4
hedge,4
hotel,4
jacket,4
kids,4
lego,4
lighter,4
lollipop,4
market,4
mat,4
microwave,4
mirror,4
mitten,4
motor,4
mouse,4
mum,4
nose,4
oak,4
orangutan,4
pan,4
plum,4
pointy,4
pond,4
pool,4
popsicle,4
post,4
pterodactyl,4
push,4
